Owner                          , Name                                                      , Stars , IdadeMeses, PRsMes, ReleasesMes, DiasDesdeAtualizacao, LinguagemPrincipal, TotalIssues, ClosedIssues, PercentualIssuesFechadas
typicode                       , json-server                                               ,  74893,        142,   0.86,        0.27,                    0, JavaScript        ,        1170,          549,                    46.92
ruanyf                         , weekly                                                    ,  74796,         83,   1.22,        0.00,                    0, N/A               ,        7186,         1096,                    15.25
louislam                       , uptime-kuma                                               ,  74584,         50,  26.50,        2.22,                    0, JavaScript        ,        4176,         3472,                    83.14
hoppscotch                     , hoppscotch                                                ,  73829,         73,  25.81,        1.16,                    0, TypeScript        ,        2058,         1568,                    76.19
elastic                        , elasticsearch                                             ,  73703,        187, 433.40,        1.10,                    0, Java              ,       40778,        36447,                    89.38
coder                          , code-server                                               ,  73679,         79,  19.97,        2.54,                    0, TypeScript        ,        3707,         3569,                    96.28
junegunn                       , fzf                                                       ,  73448,        143,   4.17,        0.50,                    0, Go                ,        3020,         2785,                    92.22
google-gemini                  , gemini-cli                                                ,  73429,          5, 426.00,       11.00,                    0, TypeScript        ,        4069,         2622,                    64.44
sdmg15                         , Best-websites-a-programmer-should-visit                   ,  73316,        102,   4.23,        0.00,                    0, N/A               ,         174,          103,                    59.20
vuejs                          , awesome-vue                                               ,  73231,        119,  30.03,        0.00,                    0, N/A               ,         228,          190,                    83.33
clash-verge-rev                , clash-verge-rev                                           ,  73103,         22,  15.14,        2.32,                    0, TypeScript        ,        3906,         3738,                    95.70
hacksider                      , Deep-Live-Cam                                             ,  72914,         24,   3.54,        0.33,                    0, Python            ,         994,          926,                    93.16
microsoft                      , markitdown                                                ,  72750,         10,  16.10,        1.50,                    0, Python            ,         324,           72,                    22.22
nestjs                         , nest                                                      ,  72548,        103,  72.17,        1.27,                    0, TypeScript        ,        5676,         5646,                    99.47
d2l-ai                         , d2l-zh                                                    ,  72060,         97,  10.51,        0.16,                    0, Python            ,           0,            0,                     0.00
CompVis                        , stable-diffusion                                          ,  71405,         37,   0.14,        0.00,                    0, Jupyter Notebook  ,         727,          195,                    26.82
thedaviddias                   , Front-End-Checklist                                       ,  71121,         95,   1.88,        0.01,                    0, N/A               ,         148,          147,                    99.32
abi                            , screenshot-to-code                                        ,  70832,         22,   2.23,        0.00,                    0, Python            ,         383,          278,                    72.58
redis                          , redis                                                     ,  70718,        198,  21.07,        0.48,                    0, C                 ,        6791,         4632,                    68.21
moby                           , moby                                                      ,  70599,        152, 141.77,        1.57,                    0, Go                ,       23142,        19936,                    86.15
ventoy                         , Ventoy                                                    ,  70375,         66,   4.24,        1.59,                    0, C                 ,        2540,         1673,                    65.87
pallets                        , flask                                                     ,  70279,        185,   8.72,        0.20,                    0, Python            ,        2694,         2692,                    99.93
grafana                        , grafana                                                   ,  69734,        141, 405.05,        3.90,                    0, TypeScript        ,       41086,        37702,                    91.76
Developer-Y                    , cs-video-courses                                          ,  69691,        107,   2.19,        0.00,                    0, N/A               ,           0,            0,                     0.00
enaqx                          , awesome-react                                             ,  69663,        133,   5.88,        0.00,                    0, N/A               ,         113,          112,                    99.12
swisskyrepo                    , PayloadsAllTheThings                                      ,  69662,        107,   5.12,        0.05,                    0, Python            ,           0,            0,                     0.00
josephmisiti                   , awesome-machine-learning                                  ,  69547,        134,   6.51,        0.00,                    0, Python            ,          93,           93,                   100.00
hakimel                        , reveal.js                                                 ,  69498,        171,   2.40,        0.29,                    0, JavaScript        ,        2464,         1690,                    68.59
strapi                         , strapi                                                    ,  69400,        120,  76.24,        4.00,                    0, TypeScript        ,       11231,        10388,                    92.49
tesseract-ocr                  , tesseract                                                 ,  69217,        133,  10.61,        0.26,                    0, C++               ,        2727,         2303,                    84.45
binary-husky                   , gpt_academic                                              ,  69190,         30,   7.47,        1.07,                    0, Python            ,        1741,         1478,                    84.89
browser-use                    , browser-use                                               ,  69144,         11,  98.09,        7.09,                    0, Python            ,        1090,          655,                    60.09
swiftlang                      , swift                                                     ,  68999,        119, 467.18,        0.50,                    0, C++               ,       16820,         9454,                    56.21
protocolbuffers                , protobuf                                                  ,  68945,        133,  58.96,        1.47,                    0, C++               ,        6657,         6412,                    96.32
rasbt                          , LLMs-from-scratch                                         ,  68787,         26,  15.27,        0.00,                    0, Jupyter Notebook  ,         181,          178,                    98.34
python                         , cpython                                                   ,  68687,        103, 514.60,        0.00,                    0, Python            ,       73477,        66233,                    90.14
punkpeye                       , awesome-mcp-servers                                       ,  68502,         10,  93.10,        0.00,                    0, N/A               ,         105,           74,                    70.48
base                           , node                                                      ,  68469,         31,   6.00,        1.74,                    0, Go                ,         241,          191,                    79.25
sherlock-project               , sherlock                                                  ,  68450,         81,   7.93,        0.01,                    0, Python            ,        1073,          969,                    90.31
ocornut                        , imgui                                                     ,  67967,        134,   3.03,        0.85,                    0, C++               ,        6546,         5533,                    84.52
apache                         , superset                                                  ,  67864,        122, 122.38,        1.92,                    0, TypeScript        ,       11666,        11186,                    95.89
Alvin9999                      , new-pac                                                   ,  67851,        114,   0.00,        0.00,                    0, Python            ,        1784,         1341,                    75.17
openai                         , openai-cookbook                                           ,  67664,         42,  20.90,        0.00,                    0, Jupyter Notebook  ,         603,          561,                    93.03
expressjs                      , express                                                   ,  67635,        195,   2.36,        0.82,                    0, JavaScript        ,        3993,         3887,                    97.35
PKUFlyingPig                   , cs-self-learning                                          ,  66988,         47,   6.34,        0.11,                    0, HTML              ,         210,          104,                    49.52
localsend                      , localsend                                                 ,  66970,         33,  20.21,        0.73,                    0, Dart              ,        1441,          647,                    44.90
modelcontextprotocol           , servers                                                   ,  66706,         10,  92.60,        1.90,                    0, TypeScript        ,         648,          473,                    72.99
astral-sh                      , uv                                                        ,  66595,         23, 318.22,        9.17,                    0, Rust              ,        7466,         5525,                    74.00
obsproject                     , obs-studio                                                ,  66588,        143,  36.78,        1.57,                    0, C                 ,        4622,         3945,                    85.35
caddyserver                    , caddy                                                     ,  66574,        128,  16.69,        1.02,                    0, Go                ,        4346,         4164,                    95.81
chartjs                        , Chart.js                                                  ,  66478,        150,  20.01,        0.77,                    0, JavaScript        ,        7267,         6805,                    93.64
ansible                        , ansible                                                   ,  66148,        162, 242.14,        1.02,                    0, Python            ,       33054,        32496,                    98.31
fffaraz                        , awesome-cpp                                               ,  66088,        134,   5.99,        0.00,                    0, N/A               ,         583,          237,                    40.65
Eugeny                         , tabby                                                     ,  65869,        105,  14.18,        1.91,                    0, TypeScript        ,        5762,         3431,                    59.55
